BlockSize	XDimSize	Time
32	1024	0.799962
32	2048	0.808262
32	4096	0.82075
32	8192	1.13785
32	16384	1.5392
32	32768	2.35979
32	65536	4.04499
32	131072	7.81506
32	262144	15.1377
32	524288	29.5608
64	1024	0.65702
64	2048	0.67454
64	4096	0.689303
64	8192	0.737144
64	16384	1.09864
64	32768	1.60275
64	65536	2.71706
64	131072	5.28376
64	262144	10.07
64	524288	19.5541
128	1024	0.563267
128	2048	0.575153
128	4096	0.58692
128	8192	0.623067
128	16384	0.741374
128	32768	1.1799
128	65536	2.03389
128	131072	3.71007
128	262144	7.10626
128	524288	13.8633
256	1024	0.540251
256	2048	0.540526
256	4096	0.568226
256	8192	0.600613
256	16384	0.693494
256	32768	1.07869
256	65536	1.77271
256	131072	3.16452
256	262144	6.04744
256	524288	11.7798
512	1024	0.45337
512	2048	0.453915
512	4096	0.45463
512	8192	0.52058
512	16384	0.609927
512	32768	1.00069
512	65536	1.67131
512	131072	3.0044
512	262144	5.58398
512	524288	10.9168
1024	1024	0.364291
1024	2048	0.363476
1024	4096	0.364875
1024	8192	0.365574
1024	16384	0.466382
1024	32768	0.730034
1024	65536	1.21259
1024	131072	2.05781
1024	262144	3.77421
1024	524288	7.36926
