Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.95122
4096	32	5.03803
8192	32	5.94331
16384	32	6.91653
32768	32	8.9514
65536	32	13.0431
131072	32	25.535
262144	32	45.5338
524288	32	85.6534
1048576	32	165.869
2048	64	4.9785
4096	64	4.99954
8192	64	5.12475
16384	64	6.15854
32768	64	7.22506
65536	64	9.39307
131072	64	19.2855
262144	64	32.9734
524288	64	60.6486
1048576	64	115.88
2048	128	4.95913
4096	128	5.02178
8192	128	5.17272
16384	128	5.40019
32768	128	6.31262
65536	128	7.66369
131072	128	16.3379
262144	128	27.7191
524288	128	50.018
1048576	128	94.9277
2048	256	4.917
4096	256	4.98814
8192	256	5.21874
16384	256	5.45782
32768	256	6.41118
65536	256	7.82162
131072	256	16.5735
262144	256	28.0101
524288	256	50.926
1048576	256	96.6977
2048	512	4.98665
4096	512	4.97121
8192	512	5.22572
16384	512	5.61086
32768	512	6.52122
65536	512	7.83034
131072	512	16.7049
262144	512	28.0078
524288	512	50.482
1048576	512	95.7206
2048	1024	5.18207
4096	1024	5.17571
8192	1024	5.21574
16384	1024	5.71888
32768	1024	6.8089
65536	1024	8.36884
131072	1024	17.5429
262144	1024	29.709
524288	1024	53.7315
1048576	1024	102.132
