Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.54362
4096	32	1.63517
8192	32	2.34765
16384	32	3.26323
32768	32	5.09281
65536	32	8.91686
131072	32	17.4157
262144	32	33.5564
524288	32	65.8234
1048576	32	130.419
2048	64	1.13215
4096	64	1.21072
8192	64	1.37545
16384	64	2.07946
32768	64	3.08349
65536	64	5.27591
131072	64	10.1676
262144	64	19.4182
524288	64	37.9456
1048576	64	75.0366
2048	128	0.939832
4096	128	0.977915
8192	128	1.0966
16384	128	1.42474
32768	128	2.26577
65536	128	3.87332
131072	128	7.27834
262144	128	13.9141
524288	128	27.1956
1048576	128	53.8196
2048	256	0.833645
4096	256	0.905402
8192	256	0.992467
16384	256	1.24785
32768	256	2.0919
65536	256	3.49777
131072	256	6.4916
262144	256	12.2931
524288	256	23.9396
1048576	256	47.2604
2048	512	0.871283
4096	512	0.875279
8192	512	1.02595
16384	512	1.21217
32768	512	2.16695
65536	512	3.81905
131072	512	6.62891
262144	512	12.1229
524288	512	23.5933
1048576	512	46.4549
2048	1024	1.03744
4096	1024	1.03908
8192	1024	1.04403
16384	1024	1.43032
32768	1024	2.59385
65536	1024	4.07518
131072	1024	6.91154
262144	1024	12.573
524288	1024	24.3755
1048576	1024	48.2688
