Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	3.31379
4096	32	3.37593
8192	32	4.04285
16384	32	4.91382
32768	32	6.7593
65536	32	10.5138
131072	32	18.987
262144	32	35.1889
524288	32	67.4857
1048576	32	132.101
2048	64	1.91376
4096	64	2.00749
8192	64	2.13394
16384	64	2.87036
32768	64	3.95113
65536	64	6.1329
131072	64	10.962
262144	64	20.1965
524288	64	38.9033
1048576	64	75.9617
2048	128	1.35907
4096	128	1.43684
8192	128	1.5379
16384	128	1.86015
32768	128	2.67992
65536	128	4.31487
131072	128	7.75907
262144	128	14.4178
524288	128	27.9195
1048576	128	54.6987
2048	256	1.09897
4096	256	1.1318
8192	256	1.27241
16384	256	1.4842
32768	256	2.31495
65536	256	3.72007
131072	256	6.67728
262144	256	12.6358
524288	256	24.2563
1048576	256	47.4229
2048	512	1.27511
4096	512	1.26237
8192	512	1.20813
16384	512	1.43036
32768	512	2.27476
65536	512	3.91662
131072	512	6.71812
262144	512	12.2324
524288	512	23.5158
1048576	512	46.1784
2048	1024	1.72756
4096	1024	2.03207
8192	1024	1.97699
16384	1024	2.24157
32768	1024	2.78303
65536	1024	4.10572
131072	1024	6.87546
262144	1024	12.4592
524288	1024	24.1018
1048576	1024	47.5957
