Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.95045
4096	32	5.02821
8192	32	5.86706
16384	32	6.87478
32768	32	8.90354
65536	32	12.9419
131072	32	21.1894
262144	32	43.3785
524288	32	81.5788
1048576	32	158.282
2048	64	4.9594
4096	64	4.98617
8192	64	5.07155
16384	64	5.98818
32768	64	7.04516
65536	64	9.14419
131072	64	13.3563
262144	64	26.1575
524288	64	46.7211
1048576	64	87.7961
2048	128	4.94936
4096	128	4.99401
8192	128	5.06881
16384	128	5.25535
32768	128	6.08519
65536	128	7.25144
131072	128	9.61924
262144	128	19.571
524288	128	33.6382
1048576	128	62.0299
2048	256	4.91705
4096	256	4.9697
8192	256	5.09593
16384	256	5.30326
32768	256	6.13601
65536	256	7.28334
131072	256	9.68436
262144	256	19.7289
524288	256	34.0027
1048576	256	62.6452
2048	512	4.98266
4096	512	4.9403
8192	512	5.07993
16384	512	5.37289
32768	512	6.22448
65536	512	7.3767
131072	512	9.95837
262144	512	19.2405
524288	512	32.8329
1048576	512	60.5552
2048	1024	5.09606
4096	1024	5.10648
8192	1024	5.07817
16384	1024	5.46288
32768	1024	6.52335
65536	1024	7.86185
131072	1024	10.5821
262144	1024	19.921
524288	1024	34.6459
1048576	1024	63.8191
