Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.51765
4096	32	1.59478
8192	32	2.30607
16384	32	3.19942
32768	32	4.94848
65536	32	8.54393
131072	32	16.0981
262144	32	31.9282
524288	32	62.5791
1048576	32	124.026
2048	64	1.11429
4096	64	1.17188
8192	64	1.30524
16384	64	2.00459
32768	64	2.94856
65536	64	4.96478
131072	64	9.17986
262144	64	17.8484
524288	64	34.8486
1048576	64	68.8419
2048	128	0.912193
4096	128	0.945657
8192	128	1.04205
16384	128	1.33703
32768	128	2.13422
65536	128	3.55743
131072	128	6.48774
262144	128	12.5283
524288	128	24.4142
1048576	128	48.1572
2048	256	0.811236
4096	256	0.872194
8192	256	0.950057
16384	256	1.18574
32768	256	1.99027
65536	256	3.30786
131072	256	5.91061
262144	256	11.3732
524288	256	22.1162
1048576	256	43.6292
2048	512	0.851726
4096	512	0.853146
8192	512	0.989739
16384	512	1.1558
32768	512	2.084
65536	512	3.6627
131072	512	6.28928
262144	512	11.5088
524288	512	22.3406
1048576	512	43.9613
2048	1024	1.00802
4096	1024	1.00915
8192	1024	1.01149
16384	1024	1.36641
32768	1024	2.45132
65536	1024	3.91131
131072	1024	6.57383
262144	1024	12.0399
524288	1024	23.4448
1048576	1024	46.314
