Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	10.087
4096	32	10.4815
8192	32	12.5837
16384	32	14.8603
32768	32	19.7936
65536	32	29.9052
131072	32	61.667
262144	32	112.712
524288	32	213.755
1048576	32	416.306
2048	64	9.93482
4096	64	10.1637
8192	64	10.7633
16384	64	12.9758
32768	64	15.6472
65536	64	21.2246
131072	64	46.0622
262144	64	80.641
524288	64	150.599
1048576	64	291.728
2048	128	9.91836
4096	128	10.138
8192	128	10.5864
16384	128	11.348
32768	128	13.79
65536	128	18.0875
131072	128	39.2142
262144	128	67.6909
524288	128	125.496
1048576	128	239.826
2048	256	9.93036
4096	256	10.1046
8192	256	10.4727
16384	256	11.3544
32768	256	13.8299
65536	256	18.0061
131072	256	39.4403
262144	256	68.2497
524288	256	126.351
1048576	256	241.907
2048	512	10.214
4096	512	10.2749
8192	512	10.6509
16384	512	11.6256
32768	512	14.099
65536	512	18.2697
131072	512	39.8113
262144	512	68.9011
524288	512	127.303
1048576	512	244.486
2048	1024	11.2132
4096	1024	11.2446
8192	1024	11.3128
16384	1024	12.3802
32768	1024	15.2927
65536	1024	19.8576
131072	1024	41.4458
262144	1024	71.5383
524288	1024	132.161
1048576	1024	253.424
