Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.75707
4096	32	4.99599
8192	32	6.57365
16384	32	8.6068
32768	32	12.9127
65536	32	21.8539
131072	32	42.4943
262144	32	80.6842
524288	32	157.036
1048576	32	309.775
2048	64	3.09873
4096	64	3.2723
8192	64	3.72229
16384	64	5.12969
32768	64	7.62961
65536	64	12.7704
131072	64	24.606
262144	64	46.5941
524288	64	90.4752
1048576	64	178.356
2048	128	2.2541
4096	128	2.37047
8192	128	2.68216
16384	128	3.5732
32768	128	5.47487
65536	128	9.26612
131072	128	17.4099
262144	128	33.0875
524288	128	64.4234
1048576	128	127.32
2048	256	1.80741
4096	256	2.00415
8192	256	2.28665
16384	256	3.04477
32768	256	4.74673
65536	256	8.00458
131072	256	14.9032
262144	256	28.2006
524288	256	54.8385
1048576	256	108.229
2048	512	1.76113
4096	512	1.76787
8192	512	2.22012
16384	512	2.68396
32768	512	4.90228
65536	512	8.38661
131072	512	15.223
262144	512	27.7258
524288	512	53.9742
1048576	512	105.603
2048	1024	2.09914
4096	1024	2.10575
8192	1024	2.11345
16384	1024	3.14023
32768	1024	5.32088
65536	1024	8.81759
131072	1024	15.0762
262144	1024	27.4417
524288	1024	53.2537
1048576	1024	105.408
