Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	7.6438
4096	32	8.0191
8192	32	12.0213
16384	32	17.0133
32768	32	27.0108
65536	32	47.8931
131072	32	93.4518
262144	32	180.894
524288	32	356.361
1048576	32	706.592
2048	64	6.04276
4096	64	6.35177
8192	64	6.95048
16384	64	11.1427
32768	64	17.0884
65536	64	29.5663
131072	64	56.5863
262144	64	108.845
524288	64	213.381
1048576	64	422.414
2048	128	5.19296
4096	128	5.3921
8192	128	5.99666
16384	128	7.94228
32768	128	13.6414
65536	128	24.0639
131072	128	45.9912
262144	128	88.7068
524288	128	174.173
1048576	128	345.369
2048	256	4.69917
4096	256	5.03969
8192	256	5.42788
16384	256	6.92868
32768	256	12.2654
65536	256	23.2856
131072	256	43.1404
262144	256	85.0393
524288	256	167.156
1048576	256	332.605
2048	512	4.81534
4096	512	4.81281
8192	512	5.69426
16384	512	10.3864
32768	512	15.9605
65536	512	26.7729
131072	512	49.1268
262144	512	95.1049
524288	512	186.27
1048576	512	370.48
2048	1024	5.56628
4096	1024	5.5894
8192	1024	5.59811
16384	1024	10.8117
32768	1024	16.1877
65536	1024	26.9337
131072	1024	49.3368
262144	1024	96.8114
524288	1024	188.155
1048576	1024	375.536
2048	2048	0.0134668
4096	2048	0.0126805
8192	2048	0.0225421
16384	2048	0.0148565
32768	2048	0.0134413
65536	2048	0.0293661
131072	2048	0.0304413
262144	2048	0.0314987
524288	2048	0.0394471
1048576	2048	0.0566486
