Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.30319
4096	32	4.57886
8192	32	5.72346
16384	32	7.3219
32768	32	10.8771
65536	32	18.1477
131072	32	35.0296
262144	32	66.0856
524288	32	128.137
1048576	32	252.113
2048	64	4.28853
4096	64	4.5299
8192	64	5.19944
16384	64	6.61934
32768	64	9.4671
65536	64	15.1233
131072	64	29.327
262144	64	54.5067
524288	64	104.87
1048576	64	205.468
2048	128	4.29059
4096	128	4.55874
8192	128	5.17201
16384	128	6.45622
32768	128	9.16648
65536	128	14.5751
131072	128	28.2838
262144	128	52.7242
524288	128	101.537
1048576	128	200.086
2048	256	4.30272
4096	256	4.73249
8192	256	5.38874
16384	256	6.65784
32768	256	9.22597
65536	256	14.7863
131072	256	28.4269
262144	256	52.9832
524288	256	101.936
1048576	256	200.416
2048	512	4.7059
4096	512	4.74582
8192	512	5.90354
16384	512	7.20985
32768	512	9.78329
65536	512	15.0895
131072	512	29.4335
262144	512	54.3239
524288	512	104.335
1048576	512	204.837
2048	1024	5.8734
4096	1024	5.8755
8192	1024	5.89197
16384	1024	8.66367
32768	1024	11.7318
65536	1024	17.9115
131072	1024	34.8082
262144	1024	63.5946
524288	1024	120.945
1048576	1024	236.488
