Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	11.8938
4096	32	12.2546
8192	32	15.6558
16384	32	19.2308
32768	32	26.8438
65536	32	42.1125
131072	32	73.4796
262144	32	152.183
524288	32	292.028
1048576	32	571.141
2048	64	11.7751
4096	64	11.9589
8192	64	12.4708
16384	64	15.8584
32768	64	19.6244
65536	64	27.7465
131072	64	44.1843
262144	64	86.7521
524288	64	161.06
1048576	64	308.741
2048	128	11.7657
4096	128	11.8914
8192	128	12.2191
16384	128	12.9151
32768	128	16.5378
65536	128	21.5029
131072	128	32.3897
262144	128	59.2614
524288	128	106.047
1048576	128	199.14
2048	256	11.7695
4096	256	11.8458
8192	256	12.2021
16384	256	12.9701
32768	256	16.6026
65536	256	21.6706
131072	256	32.6699
262144	256	60.0004
524288	256	107.852
1048576	256	202.77
2048	512	11.9725
4096	512	12.0059
8192	512	12.3183
16384	512	13.278
32768	512	16.7336
65536	512	22.1145
131072	512	33.8978
262144	512	62.4654
524288	512	113.076
1048576	512	213.752
2048	1024	12.7663
4096	1024	12.8206
8192	1024	12.8434
16384	1024	14.2836
32768	1024	18.0907
65536	1024	24.0438
131072	1024	36.4836
262144	1024	69.8742
524288	1024	127.864
1048576	1024	242.932
