Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	7.64079
4096	32	7.84792
8192	32	12.1536
16384	32	16.9923
32768	32	26.7858
65536	32	46.5997
131072	32	88.2894
262144	32	174.802
524288	32	344.005
1048576	32	682.342
2048	64	6.10111
4096	64	6.20994
8192	64	6.64539
16384	64	10.8066
32768	64	15.8479
65536	64	26.1564
131072	64	47.6402
262144	64	92.6541
524288	64	181.334
1048576	64	358.352
2048	128	5.2647
4096	128	5.34878
8192	128	5.61212
16384	128	6.46006
32768	128	10.8624
65536	128	17.2305
131072	128	30.8033
262144	128	59.0028
524288	128	114.792
1048576	128	226.154
2048	256	4.83017
4096	256	4.96842
8192	256	5.16903
16384	256	5.83429
32768	256	10.463
65536	256	17.0523
131072	256	30.2259
262144	256	57.3987
524288	256	111.822
1048576	256	220.774
2048	512	4.80532
4096	512	4.82011
8192	512	5.16285
16384	512	5.7635
32768	512	12.1369
65536	512	18.8043
131072	512	31.4548
262144	512	57.6444
524288	512	112.333
1048576	512	220.756
2048	1024	5.10638
4096	1024	5.11134
8192	1024	5.13443
16384	1024	6.60388
32768	1024	12.4921
65536	1024	19.1325
131072	1024	32.2808
262144	1024	58.8182
524288	1024	114.194
1048576	1024	225.346
