Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	3.99015
4096	32	4.1551
8192	32	5.19925
16384	32	6.44164
32768	32	9.10164
65536	32	14.537
131072	32	25.8528
262144	32	51.6288
524288	32	99.39
1048576	32	195.075
2048	64	3.9833
4096	64	4.08429
8192	64	4.40589
16384	64	5.41681
32768	64	7.02547
65536	64	10.3349
131072	64	17.2258
262144	64	33.2238
524288	64	62.4673
1048576	64	120.984
2048	128	3.97542
4096	128	4.08609
8192	128	4.35491
16384	128	5.10874
32768	128	6.62478
65536	128	9.55573
131072	128	15.4563
262144	128	30.1257
524288	128	56.0942
1048576	128	108.116
2048	256	3.9716
4096	256	4.13894
8192	256	4.43642
16384	256	5.1412
32768	256	6.63243
65536	256	9.58497
131072	256	15.4907
262144	256	30.2187
524288	256	56.4253
1048576	256	108.785
2048	512	4.1781
4096	512	4.19173
8192	512	4.71452
16384	512	5.44197
32768	512	6.93485
65536	512	9.79695
131072	512	16.0349
262144	512	30.87
524288	512	57.5265
1048576	512	111.022
2048	1024	4.70828
4096	1024	4.74167
8192	1024	4.76583
16384	1024	5.95309
32768	1024	7.5575
65536	1024	10.5525
131072	1024	16.7958
262144	1024	32.5119
524288	1024	60.2164
1048576	1024	116.055
