XDimSize	BlockSize	Time
2048	32	84.5515
4096	32	85.2271
8192	32	114.285
16384	32	153.8
32768	32	233.323
65536	32	402.122
131072	32	744.968
262144	32	1426.83
524288	32	2790
1048576	32	5513.85
2048	64	84.4684
4096	64	85.2179
8192	64	87.0394
16384	64	117.187
32768	64	160.29
65536	64	256.49
131072	64	444.881
262144	64	823.298
524288	64	1582.25
1048576	64	3106.13
2048	128	85.4087
4096	128	84.8127
8192	128	86.8865
16384	128	95.1873
32768	128	142.992
65536	128	237.325
131072	128	416.449
262144	128	767.64
524288	128	1472.21
1048576	128	2883.96
2048	256	85.1248
4096	256	86.6792
8192	256	86.9974
16384	256	119.093
32768	256	163.303
65536	256	258.982
131072	256	449.08
262144	256	839.389
524288	256	1614.46
1048576	256	3169.34
2048	512	87.2416
4096	512	87.274
8192	512	90.088
16384	512	122.183
32768	512	169.012
65536	512	268.26
131072	512	464.763
262144	512	865.283
524288	512	1669.69
1048576	512	3279.73
2048	1024	91.672
4096	1024	92.5776
8192	1024	92.6835
16384	1024	129.727
32768	1024	177.024
65536	1024	281.049
131072	1024	478.027
262144	1024	889.129
524288	1024	1695.43
1048576	1024	3341.28
