Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	50.6205
4096	32	52.558
8192	32	78.777
16384	32	115.191
32768	32	187.805
65536	32	340.577
131072	32	646.576
262144	32	1251.51
524288	32	2464.17
1048576	32	4885.7
2048	64	50.3827
4096	64	52.6449
8192	64	56.5597
16384	64	85.1707
32768	64	127.536
65536	64	215.385
131072	64	385.78
262144	64	727.218
524288	64	1409.41
1048576	64	2775.19
2048	128	49.5492
4096	128	53.1184
8192	128	57.3242
16384	128	85.2293
32768	128	128.579
65536	128	217.535
131072	128	389.07
262144	128	733.399
524288	128	1422.12
1048576	128	2800.86
2048	256	51.7584
4096	256	51.6799
8192	256	59.6118
16384	256	88.02
32768	256	134.701
65536	256	228.947
131072	256	411.341
262144	256	781.529
524288	256	1518.87
1048576	256	2994.82
2048	512	55.5691
4096	512	55.2853
8192	512	62.77
16384	512	95.2379
32768	512	147.635
65536	512	252.654
131072	512	452.578
262144	512	866.678
524288	512	1697.05
1048576	512	3352.5
2048	1024	66.1098
4096	1024	65.934
8192	1024	65.6605
16384	1024	112.844
32768	1024	168.058
65536	1024	286.598
131072	1024	511.166
262144	1024	972.936
524288	1024	1893.92
1048576	1024	3748.9
