Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	107.109
4096	32	109.931
8192	32	184.417
16384	32	278.579
32768	32	465.647
65536	32	830.279
131072	32	1597.38
262144	32	3102.51
524288	32	6163.24
1048576	32	12237.1
2048	64	99.8706
4096	64	106.582
8192	64	116.039
16384	64	199.514
32768	64	385
65536	64	684.922
131072	64	1351.86
262144	64	2646.88
524288	64	5268.02
1048576	64	10488.6
2048	128	117.333
4096	128	125.637
8192	128	132.11
16384	128	197.337
32768	128	386.575
65536	128	687.631
131072	128	1361.96
262144	128	2663.37
524288	128	5309.14
1048576	128	10568.9
2048	256	190.011
4096	256	186.898
8192	256	229.559
16384	256	286.204
32768	256	474.994
65536	256	865.108
131072	256	1693.63
262144	256	3304.95
524288	256	6581.36
1048576	256	13091
2048	512	295.29
4096	512	308.401
8192	512	348.557
16384	512	395.816
32768	512	495.905
65536	512	866.742
131072	512	1679.4
262144	512	3306.67
524288	512	6576.53
1048576	512	13099.1
