Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	96.83
4096	32	99.5944
8192	32	183.623
16384	32	277.022
32768	32	464.35
65536	32	842.167
131072	32	1642.41
262144	32	3194.36
524288	32	6375.07
1048576	32	12668.3
2048	64	98.8861
4096	64	102.527
8192	64	107.564
16384	64	181.336
32768	64	324.375
65536	64	623.466
131072	64	1318.62
262144	64	2660.73
524288	64	5337.02
1048576	64	10676.8
2048	128	99.0524
4096	128	102.13
8192	128	106.751
16384	128	185.441
32768	128	359.383
65536	128	664.943
131072	128	1362.69
262144	128	2699.26
524288	128	5379.23
1048576	128	10713.7
2048	256	97.1357
4096	256	101.756
8192	256	180.475
16384	256	277.588
32768	256	469.381
65536	256	871.012
131072	256	1728.38
262144	256	3352.32
524288	256	6656.24
1048576	256	13222.6
2048	512	100.559
4096	512	100.462
8192	512	188.94
16384	512	286.889
32768	512	476.941
65536	512	870.079
131072	512	1709.31
262144	512	3322.5
524288	512	6628.24
1048576	512	13163.1
