Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	86.6447
4096	32	87.0824
8192	32	119.453
16384	32	161.102
32768	32	244.667
65536	32	420.118
131072	32	783.664
262144	32	1501.42
524288	32	2940.26
1048576	32	5815.88
2048	64	86.3221
4096	64	86.8172
8192	64	88.2274
16384	64	121.697
32768	64	166.482
65536	64	263.005
131072	64	459.074
262144	64	851.24
524288	64	1636.6
1048576	64	3207.99
2048	128	86.9988
4096	128	86.3605
8192	128	90.1434
16384	128	95.9397
32768	128	143.577
65536	128	234.002
131072	128	407.095
262144	128	744.683
524288	128	1423.25
1048576	128	2780.61
2048	256	86.2085
4096	256	87.9818
8192	256	88.2567
16384	256	97.7669
32768	256	144.063
65536	256	236.621
131072	256	409.007
262144	256	753.499
524288	256	1437.87
1048576	256	2811.18
2048	512	88.4839
4096	512	88.2367
8192	512	92.1189
16384	512	126.169
32768	512	174.6
65536	512	276.86
131072	512	477.184
262144	512	886.136
524288	512	1712.67
1048576	512	3352.92
2048	1024	92.0313
4096	1024	93.2127
8192	1024	93.0296
16384	1024	132.839
32768	1024	181.631
65536	1024	284.692
131072	1024	485.272
262144	1024	910.02
524288	1024	1730.39
1048576	1024	3411.02
