Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	66.4241
4096	32	58.5052
8192	32	94.8179
16384	32	133.292
32768	32	210.427
65536	32	383.233
131072	32	741.027
262144	32	1429.41
524288	32	2840.65
1048576	32	5645.94
2048	64	51.6789
4096	64	52.3981
8192	64	56.7085
16384	64	93.2485
32768	64	136.75
65536	64	229.046
131072	64	413.437
262144	64	807.079
524288	64	1574.2
1048576	64	3140.78
2048	128	55.1243
4096	128	56.1952
8192	128	55.9404
16384	128	57.9031
32768	128	95.6896
65536	128	186.821
131072	128	368.006
262144	128	720.419
524288	128	1399.23
1048576	128	2789.1
2048	256	75.8204
4096	256	74.9568
8192	256	75.8925
16384	256	95.6576
32768	256	133.182
65536	256	220.808
131072	256	402.332
262144	256	787.62
524288	256	1541.5
1048576	256	3067.7
2048	512	120.273
4096	512	121.702
8192	512	118.714
16384	512	138.674
32768	512	166.774
65536	512	232.438
131072	512	407.198
262144	512	791.298
524288	512	1550.21
1048576	512	3079.04
2048	1024	247.645
4096	1024	217.07
8192	1024	221.799
16384	1024	240.879
32768	1024	297.698
65536	1024	416.483
131072	1024	511.904
262144	1024	778.362
524288	1024	1535.88
1048576	1024	3056.19
