Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	46.2264
4096	32	47.6975
8192	32	80.2368
16384	32	120.027
32768	32	198.878
65536	32	363.076
131072	32	711.912
262144	32	1374.8
524288	32	2738.84
1048576	32	5446.8
2048	64	45.1508
4096	64	46.1298
8192	64	47.8956
16384	64	84.3777
32768	64	129.738
65536	64	218.184
131072	64	399.383
262144	64	781.973
524288	64	1521.2
1048576	64	3032.76
2048	128	43.9971
4096	128	45.4581
8192	128	46.5011
16384	128	50.3758
32768	128	90.1306
65536	128	178.635
131072	128	353.345
262144	128	694.2
524288	128	1348.78
1048576	128	2688.09
2048	256	45.5259
4096	256	44.6156
8192	256	46.7992
16384	256	83.9909
32768	256	126.942
65536	256	212.993
131072	256	388.802
262144	256	762.248
524288	256	1485.55
1048576	256	2961.5
2048	512	46.1334
4096	512	46.3854
8192	512	46.0209
16384	512	84.7526
32768	512	128.11
65536	512	214.869
131072	512	391.779
262144	512	765.974
524288	512	1496.31
1048576	512	2975.71
2048	1024	49.0161
4096	1024	48.481
8192	1024	48.7366
16384	1024	84.8665
32768	1024	127.347
65536	1024	212.31
131072	1024	388.227
262144	1024	763.459
524288	1024	1480.44
1048576	1024	2954.03
