XDimSize	BlockSize	Time
2048	32	79.4176
4096	32	82.0286
8192	32	138.816
16384	32	208.035
32768	32	349.465
65536	32	630.241
131072	32	1225.6
262144	32	2388.37
524288	32	4781.62
1048576	32	9563.74
2048	64	99.028
4096	64	97.1067
8192	64	96.925
16384	64	148.202
32768	64	232.548
65536	64	391.931
131072	64	713.237
262144	64	1392.99
524288	64	2745.28
1048576	64	5476.7
2048	128	151.75
4096	128	161.276
8192	128	152.603
16384	128	175.076
32768	128	231.661
65536	128	377.22
131072	128	690.023
262144	128	1351.29
524288	128	2647.58
1048576	128	5276.3
2048	256	266.639
4096	256	247.535
8192	256	259.509
16384	256	269.023
32768	256	309.695
65536	256	380.325
131072	256	683.414
262144	256	1336.89
524288	256	2617.83
1048576	256	5210.46
2048	512	448.769
4096	512	458.358
8192	512	469.79
16384	512	498.037
32768	512	537.088
65536	512	615.931
131072	512	753.121
262144	512	1339.41
524288	512	2622.85
1048576	512	5216.39
2048	1024	863.996
4096	1024	895.143
8192	1024	894.273
16384	1024	910.76
32768	1024	942.765
65536	1024	1028.35
131072	1024	1185.89
262144	1024	1480.51
524288	1024	2580.59
1048576	1024	5133.78
