XDimSize	BlockSize	Time
2048	32	131.928
4096	32	133.667
8192	32	163.407
16384	32	202.375
32768	32	338.828
65536	32	619.628
131072	32	1214.85
262144	32	2376.61
524288	32	4763.12
1048576	32	9530.67
2048	64	103.051
4096	64	104.899
8192	64	108.423
16384	64	145.301
32768	64	227.932
65536	64	386.806
131072	64	706.513
262144	64	1384.55
524288	64	2726.72
1048576	64	5447.5
2048	128	104.915
4096	128	106.142
8192	128	108.552
16384	128	143.764
32768	128	221.389
65536	128	374.534
131072	128	686.286
262144	128	1347.98
524288	128	2637.69
1048576	128	5258.12
2048	256	106.306
4096	256	107.369
8192	256	110.796
16384	256	147.146
32768	256	221.991
65536	256	372.792
131072	256	682.614
262144	256	1335.82
524288	256	2612.13
1048576	256	5197.27
2048	512	107.055
4096	512	107.276
8192	512	110.474
16384	512	147.673
32768	512	224.538
65536	512	376.071
131072	512	683.994
262144	512	1340.66
524288	512	2624.58
1048576	512	5217.47
2048	1024	110.455
4096	1024	110.361
8192	1024	110.378
16384	1024	147.604
32768	1024	221.557
65536	1024	369.635
131072	1024	675.253
262144	1024	1328.65
524288	1024	2583.86
1048576	1024	5160.84
