BlockSize	XDimSize	Time
2048 32 1.284
4096 32 1.31939
8192 32 1.8095
2048 64 1.10105
4096 64 1.13794
8192 64 1.22267
2048 128 1.00595
4096 128 1.03601
8192 128 1.1175
2048 256 0.961578
4096 256 1.02448
8192 256 1.10325
2048 512 1.07384
4096 512 1.07524
8192 512 1.22433
2048 1024 1.27673
4096 1024 1.27798
8192 1024 1.28074
2048 256 1.28856
1024 128 0.196384
1024 128 0.19643
1024 128 0.196333
1024 128 0.253592
1024 128 0.284603
1024 128 0.0008344
1024 128 0.00102909
1024 128 0.000853664
1024 128 0.000865728
1024 128 0.000897568
1024 128 0.000893664
1024 128 0.00120531
1024 128 0.00100918
1024 128 0.00106109
1024 128 0.00139926
1024 128 0.00137302
1024 128 0.304613
1024 128 0.196888
