XDimSize	BlockSize	Time
2048	32	2.07088
4096	32	2.10628
8192	32	2.63489
16384	32	3.60804
32768	32	5.57371
65536	32	9.71076
131072	32	18.9412
262144	32	36.3348
524288	32	71.0231
1048576	32	140.401
2048	64	1.52533
4096	64	1.57139
8192	64	1.6957
16384	64	2.38585
32768	64	3.54143
65536	64	5.94521
131072	64	11.3845
262144	64	21.6358
524288	64	42.1719
1048576	64	83.2312
2048	128	1.29195
4096	128	1.34071
8192	128	1.42432
16384	128	1.71084
32768	128	2.52748
65536	128	4.20122
131072	128	7.81434
262144	128	14.8267
524288	128	28.8901
1048576	128	57.0154
2048	256	1.18181
4096	256	1.24645
8192	256	1.32519
16384	256	1.57113
32768	256	2.43277
65536	256	4.06061
131072	256	7.38148
262144	256	13.9573
524288	256	27.1949
1048576	256	53.6834
2048	512	1.25091
4096	512	1.25214
8192	512	1.42223
16384	512	1.62653
32768	512	2.74056
65536	512	4.51911
131072	512	7.8201
262144	512	14.408
524288	512	28.0787
1048576	512	55.3904
2048	1024	1.47818
4096	1024	1.48094
8192	1024	1.48552
16384	1024	1.95443
32768	1024	3.18627
65536	1024	5.12065
131072	1024	8.66364
262144	1024	15.8652
524288	1024	30.8441
1048576	1024	61.0447
