XDimSize	BlockSize	Time
2048	32	4.99535
4096	32	5.03768
8192	32	5.61223
16384	32	6.63459
32768	32	8.64664
65536	32	12.6536
131072	32	20.8823
262144	32	42.8046
524288	32	80.789
1048576	32	157.167
2048	64	4.98647
4096	64	5.03351
8192	64	5.06856
16384	64	5.75026
32768	64	6.79122
65536	64	8.88152
131072	64	13.0939
262144	64	25.6631
524288	64	46.1462
1048576	64	87.1125
2048	128	4.98508
4096	128	5.03478
8192	128	5.06664
16384	128	5.11311
32768	128	5.86326
65536	128	7.0398
131072	128	9.39926
262144	128	19.2355
524288	128	33.293
1048576	128	61.5589
2048	256	4.96123
4096	256	5.01713
8192	256	5.05724
16384	256	5.1169
32768	256	5.8915
65536	256	7.06097
131072	256	9.43163
262144	256	19.2955
524288	256	33.7801
1048576	256	62.5243
2048	512	4.99473
4096	512	5.01862
8192	512	5.06208
16384	512	5.18095
32768	512	5.97325
65536	512	7.14639
131072	512	9.64318
262144	512	19.0855
524288	512	33.087
1048576	512	61.4514
2048	1024	5.08779
4096	1024	5.09706
8192	1024	5.12332
16384	1024	5.24296
32768	1024	6.22515
65536	1024	7.55449
131072	1024	10.2705
262144	1024	19.3956
524288	1024	34.1111
1048576	1024	63.445
