Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	5.04628
4096	32	5.12771
8192	32	6.01622
16384	32	6.97778
32768	32	9.01941
65536	32	13.1375
131072	32	25.6045
262144	32	45.6341
524288	32	85.7776
1048576	32	166.088
2048	64	5.00961
4096	64	5.02767
8192	64	5.18275
16384	64	6.19771
32768	64	7.25585
65536	64	9.43648
131072	64	19.3268
262144	64	33.2135
524288	64	60.6147
1048576	64	115.776
2048	128	4.98946
4096	128	5.04188
8192	128	5.20914
16384	128	5.4446
32768	128	6.33846
65536	128	7.67061
131072	128	16.4743
262144	128	27.6143
524288	128	49.8992
1048576	128	94.7679
2048	256	4.92541
4096	256	5.00273
8192	256	5.22048
16384	256	5.47118
32768	256	6.40722
65536	256	7.81926
131072	256	16.6755
262144	256	27.9779
524288	256	50.7852
1048576	256	96.5798
2048	512	4.98445
4096	512	4.9746
8192	512	5.21897
16384	512	5.6232
32768	512	6.51845
65536	512	7.83599
131072	512	16.7876
262144	512	27.9835
524288	512	50.4058
1048576	512	95.6278
2048	1024	5.1842
4096	1024	5.17904
8192	1024	5.21455
16384	1024	5.73058
32768	1024	6.80242
65536	1024	8.38308
131072	1024	17.5057
262144	1024	29.7895
524288	1024	53.7577
1048576	1024	102.052
