Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	3.8582
4096	32	3.48695
8192	32	4.07509
16384	32	5.20372
32768	32	7.04858
65536	32	10.9385
131072	32	19.3876
262144	32	35.6394
524288	32	68.2243
1048576	32	133.104
2048	64	2.08589
4096	64	2.18372
8192	64	2.31962
16384	64	2.94879
32768	64	4.10926
65536	64	6.46234
131072	64	11.5759
262144	64	21.1133
524288	64	40.6883
1048576	64	79.6066
2048	128	1.85717
4096	128	1.80318
8192	128	1.85809
16384	128	2.13454
32768	128	2.79923
65536	128	4.43204
131072	128	7.92025
262144	128	14.7136
524288	128	28.5714
1048576	128	55.7247
2048	256	2.8427
4096	256	2.55957
8192	256	2.46283
16384	256	2.91872
32768	256	3.18857
65536	256	3.79794
131072	256	6.65563
262144	256	12.5375
524288	256	24.092
1048576	256	47.2286
2048	512	4.30871
4096	512	3.87211
8192	512	4.50951
16384	512	3.939
32768	512	4.91527
65536	512	5.11595
131072	512	6.62599
262144	512	11.9709
524288	512	23.092
1048576	512	45.4074
2048	1024	6.8932
4096	1024	6.52919
8192	1024	6.89046
16384	1024	6.92945
32768	1024	6.58225
65536	1024	8.09432
131072	1024	9.37858
262144	1024	12.4949
524288	1024	23.8755
1048576	1024	47.085
