Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.53829
4096	32	1.6306
8192	32	2.34679
16384	32	3.25676
32768	32	5.0856
65536	32	8.91351
131072	32	17.4007
262144	32	33.5321
524288	32	65.8004
1048576	32	130.38
2048	64	1.12495
4096	64	1.19997
8192	64	1.36866
16384	64	2.0722
32768	64	3.07752
65536	64	5.26846
131072	64	10.141
262144	64	19.393
524288	64	37.9233
1048576	64	74.982
2048	128	0.931077
4096	128	0.971377
8192	128	1.08849
16384	128	1.41665
32768	128	2.25572
65536	128	3.86348
131072	128	7.26842
262144	128	13.8892
524288	128	27.1703
1048576	128	53.7811
2048	256	0.826996
4096	256	0.895114
8192	256	0.984895
16384	256	1.23918
32768	256	2.08261
65536	256	3.49014
131072	256	6.47285
262144	256	12.2721
524288	256	23.9131
1048576	256	47.2194
2048	512	0.866403
4096	512	0.867999
8192	512	1.01543
16384	512	1.20905
32768	512	2.16353
65536	512	3.83695
131072	512	6.6371
262144	512	12.1232
524288	512	23.6073
1048576	512	46.4274
2048	1024	1.03243
4096	1024	1.03415
8192	1024	1.0361
16384	1024	1.44667
32768	1024	2.6525
65536	1024	4.08486
131072	1024	6.92084
262144	1024	12.5923
524288	1024	24.4435
1048576	1024	48.1843
