Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	5.25087
4096	32	5.24717
8192	32	5.81673
16384	32	6.83797
32768	32	8.85803
65536	32	12.8724
131072	32	21.1322
262144	32	43.1035
524288	32	81.1619
1048576	32	157.636
2048	64	5.07627
4096	64	5.1292
8192	64	5.16411
16384	64	5.84311
32768	64	6.89247
65536	64	8.99428
131072	64	13.212
262144	64	25.8255
524288	64	46.3396
1048576	64	87.3689
2048	128	5.02486
4096	128	5.07416
8192	128	5.08668
16384	128	5.13749
32768	128	5.89261
65536	128	7.08744
131072	128	9.45543
262144	128	19.3166
524288	128	33.3715
1048576	128	61.6644
2048	256	4.97958
4096	256	5.03197
8192	256	5.07088
16384	256	5.13113
32768	256	5.91456
65536	256	7.07868
131072	256	9.45277
262144	256	19.3129
524288	256	33.7924
1048576	256	62.5276
2048	512	4.99392
4096	512	5.01746
8192	512	5.06726
16384	512	5.17917
32768	512	5.97311
65536	512	7.131
131072	512	9.63395
262144	512	19.0837
524288	512	33.0854
1048576	512	61.444
2048	1024	5.0834
4096	1024	5.08472
8192	1024	5.10614
16384	1024	5.22938
32768	1024	6.21141
65536	1024	7.54571
131072	1024	10.2647
262144	1024	19.3793
524288	1024	34.0952
1048576	1024	63.3975
