Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	5.06712
4096	32	3.79334
8192	32	4.62474
16384	32	6.00368
32768	32	7.24088
65536	32	11.2085
131072	32	18.299
262144	32	34.0813
524288	32	64.0978
1048576	32	125.054
2048	64	2.24125
4096	64	2.27488
8192	64	2.4415
16384	64	3.14537
32768	64	4.01509
65536	64	6.02719
131072	64	10.1815
262144	64	18.7818
524288	64	35.3885
1048576	64	68.8232
2048	128	1.88313
4096	128	2.34449
8192	128	1.98235
16384	128	2.10139
32768	128	2.75003
65536	128	3.94639
131072	128	6.7583
262144	128	12.5403
524288	128	23.8307
1048576	128	46.6921
2048	256	1.95023
4096	256	2.06316
8192	256	2.43107
16384	256	3.60637
32768	256	2.81909
65536	256	3.63777
131072	256	6.04065
262144	256	11.403
524288	256	22.0679
1048576	256	43.2068
2048	512	3.11401
4096	512	5.00188
8192	512	3.70487
16384	512	4.70589
32768	512	5.57483
65536	512	6.31458
131072	512	6.42256
262144	512	11.5278
524288	512	22.116
1048576	512	43.4483
2048	1024	6.94164
4096	1024	6.90331
8192	1024	6.87127
16384	1024	7.03345
32768	1024	6.26822
65536	1024	7.67317
131072	1024	8.33775
262144	1024	12.288
524288	1024	23.2434
1048576	1024	46.1548
