Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.56875
4096	32	1.63715
8192	32	2.34288
16384	32	3.21898
32768	32	4.95982
65536	32	8.48723
131072	32	15.9573
262144	32	31.5996
524288	32	61.808
1048576	32	122.276
2048	64	1.1412
4096	64	1.18961
8192	64	1.3214
16384	64	2.01296
32768	64	2.9553
65536	64	4.97592
131072	64	9.19554
262144	64	17.8973
524288	64	34.9082
1048576	64	68.9325
2048	128	0.909541
4096	128	0.939063
8192	128	1.03784
16384	128	1.34196
32768	128	2.13811
65536	128	3.57599
131072	128	6.54435
262144	128	12.6431
524288	128	24.6638
1048576	128	48.6793
2048	256	0.802582
4096	256	0.854954
8192	256	0.936683
16384	256	1.17513
32768	256	1.98549
65536	256	3.32095
131072	256	5.94603
262144	256	11.4447
524288	256	22.2953
1048576	256	43.9922
2048	512	0.832312
4096	512	0.834505
8192	512	0.964742
16384	512	1.15402
32768	512	2.05923
65536	512	3.57953
131072	512	6.26728
262144	512	11.4745
524288	512	22.2816
1048576	512	43.9593
2048	1024	1.00298
4096	1024	1.00428
8192	1024	1.007
16384	1024	1.37561
32768	1024	2.45617
65536	1024	3.89066
131072	1024	6.5569
262144	1024	12.0238
524288	1024	23.3012
1048576	1024	46.1693
