XDimSize	BlockSize	Time
2048	32	3.07696
4096	32	3.05804
8192	32	3.73066
16384	32	4.64064
32768	32	6.27579
65536	32	9.82175
131072	32	17.3746
262144	32	32.9249
524288	32	63.2272
1048576	32	123.859
2048	64	1.91351
4096	64	1.89118
8192	64	2.03953
16384	64	2.7331
32768	64	3.60299
65536	64	5.54914
131072	64	9.75057
262144	64	18.1479
524288	64	35.0677
1048576	64	68.144
2048	128	1.89451
4096	128	1.7512
8192	128	1.73377
16384	128	1.8723
32768	128	2.48201
65536	128	3.7781
131072	128	6.56866
262144	128	12.2925
524288	128	23.8729
1048576	128	46.4909
2048	256	2.27227
4096	256	2.26521
8192	256	2.27579
16384	256	2.61997
32768	256	2.80797
65536	256	3.43476
131072	256	5.93871
262144	256	11.4483
524288	256	21.9047
1048576	256	43.0053
2048	512	3.60041
4096	512	4.44619
8192	512	4.37399
16384	512	3.77154
32768	512	4.79977
65536	512	5.34208
131072	512	6.54513
262144	512	11.4729
524288	512	22.0725
1048576	512	43.4418
2048	1024	6.61838
4096	1024	6.84124
8192	1024	6.90448
16384	1024	6.39244
32768	1024	6.32042
65536	1024	7.09788
131072	1024	8.4242
262144	1024	12.3007
524288	1024	23.3386
1048576	1024	46.1582
