XDimSize	BlockSize	Time
2048	32	1.82288
4096	32	1.87262
8192	32	2.40342
16384	32	3.33354
32768	32	5.17342
65536	32	8.96265
131072	32	16.904
262144	32	33.5277
524288	32	65.7574
1048576	32	130.331
2048	64	1.36729
4096	64	1.39856
8192	64	1.48864
16384	64	2.09301
32768	64	3.07356
65536	64	5.15306
131072	64	9.53147
262144	64	18.517
524288	64	36.1724
1048576	64	71.4506
2048	128	1.13721
4096	128	1.16515
8192	128	1.24789
16384	128	1.52047
32768	128	2.23795
65536	128	3.71984
131072	128	6.76132
262144	128	13.0252
524288	128	25.3799
1048576	128	50.0658
2048	256	1.0211
4096	256	1.08036
8192	256	1.16447
16384	256	1.40414
32768	256	2.15594
65536	256	3.65423
131072	256	6.54815
262144	256	12.6183
524288	256	24.6035
1048576	256	48.5712
2048	512	1.0981
4096	512	1.09991
8192	512	1.25303
16384	512	1.46632
32768	512	2.34162
65536	512	3.9695
131072	512	7.08366
262144	512	13.0937
524288	512	25.47
1048576	512	50.1637
2048	1024	1.31084
4096	1024	1.31229
8192	1024	1.31526
16384	1024	1.77062
32768	1024	2.759
65536	1024	4.50291
131072	1024	7.65633
262144	1024	14.1088
524288	1024	27.3579
1048576	1024	54.0146
