BlockSize	XDimSize	Time
2048 32 1.07123
4096 32 1.10813
8192 32 1.90839
16384 32 2.81289
32768 32 4.58536
65536 32 8.22128
131072 32 15.8646
262144 32 31.3765
524288 32 62.0777
2048 64 0.983415
4096 64 1.02004
8192 64 1.10271
16384 64 1.90507
32768 64 2.87498
65536 64 4.85668
131072 64 8.98246
262144 64 17.4605
524288 64 34.3537
2048 128 0.937442
4096 128 0.958402
8192 128 1.01338
16384 128 1.16914
32768 128 2.02494
65536 128 3.2778
131072 128 5.93809
262144 128 11.3452
524288 128 22.1795
2048 256 0.908988
4096 256 0.938519
8192 256 0.974855
16384 256 1.10498
32768 256 2.00188
65536 256 3.30641
131072 256 5.87191
262144 256 11.126
524288 256 21.7249
2048 512 0.930776
4096 512 0.931404
8192 512 0.99847
16384 512 1.11331
32768 512 2.25086
65536 512 3.63304
131072 512 6.11755
262144 512 11.2009
524288 512 21.9035
2048 1024 1.00472
4096 1024 1.00712
8192 1024 1.01202
16384 1024 1.27912
32768 1024 2.44566
65536 1024 3.71399
131072 1024 6.25529
262144 1024 11.3971
524288 1024 22.1959
