XDimSize	BlockSize	Time
2048	32	16.7057
4096	32	17.251
8192	32	21.8522
16384	32	27.0593
32768	32	37.8646
65536	32	59.5581
131072	32	106.328
262144	32	218.568
524288	32	421.504
1048576	32	828.103
2048	64	16.5302
4096	64	16.84
8192	64	17.6051
16384	64	22.1739
32768	64	27.6757
65536	64	39.2741
131072	64	63.9564
262144	64	127.231
524288	64	236.553
1048576	64	457.582
2048	128	16.4534
4096	128	16.7035
8192	128	17.2606
16384	128	18.5418
32768	128	23.1371
65536	128	29.966
131072	128	45.2286
262144	128	87.1372
524288	128	157.697
1048576	128	298.773
2048	256	16.4517
4096	256	16.5935
8192	256	17.2121
16384	256	18.4013
32768	256	23.2474
65536	256	29.9624
131072	256	45.5144
262144	256	87.811
524288	256	159.41
1048576	256	302.399
2048	512	16.7746
4096	512	16.868
8192	512	17.2654
16384	512	18.6696
32768	512	23.5152
65536	512	30.4338
131072	512	46.9397
262144	512	90.5204
524288	512	164.242
1048576	512	312.201
2048	1024	17.5198
4096	1024	17.6018
8192	1024	17.7435
16384	1024	19.7207
32768	1024	24.8158
65536	1024	32.5312
131072	1024	49.9907
262144	1024	95.3497
524288	1024	173.886
1048576	1024	330.535
