Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	10.5555
4096	32	11.0028
8192	32	13.2267
16384	32	15.9178
32768	32	21.2956
65536	32	32.0298
131072	32	67.2872
262144	32	122.37
524288	32	232.783
1048576	32	454.163
2048	64	10.2606
4096	64	10.5655
8192	64	11.0436
16384	64	13.2244
32768	64	16.1241
65536	64	22.2687
131072	64	48.3831
262144	64	86.959
524288	64	161.967
1048576	64	311.398
2048	128	10.145
4096	128	10.4233
8192	128	10.7765
16384	128	11.4637
32768	128	14.0922
65536	128	18.5602
131072	128	42.258
262144	128	73.7705
524288	128	137.878
1048576	128	264.783
2048	256	10.2337
4096	256	10.432
8192	256	10.6511
16384	256	11.5438
32768	256	14.2213
65536	256	18.6932
131072	256	42.6334
262144	256	74.451
524288	256	138.834
1048576	256	266.267
2048	512	10.4758
4096	512	10.5152
8192	512	10.9013
16384	512	11.8673
32768	512	14.5025
65536	512	18.963
131072	512	43.5649
262144	512	75.45
524288	512	140.536
1048576	512	268.627
2048	1024	11.3366
4096	1024	11.3748
8192	1024	11.468
16384	1024	12.6775
32768	1024	16.2284
65536	1024	21.3027
131072	1024	45.2474
262144	1024	78.2739
524288	1024	144.188
1048576	1024	274.762
