Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.75805
4096	32	4.99387
8192	32	6.57473
16384	32	8.60656
32768	32	12.913
65536	32	21.8579
131072	32	42.4831
262144	32	80.678
524288	32	157.021
1048576	32	309.784
2048	64	3.0979
4096	64	3.26512
8192	64	3.71442
16384	64	5.13221
32768	64	7.63196
65536	64	12.7672
131072	64	24.606
262144	64	46.5776
524288	64	90.4855
1048576	64	178.371
2048	128	2.2555
4096	128	2.37256
8192	128	2.6842
16384	128	3.57446
32768	128	5.47161
65536	128	9.2631
131072	128	17.4125
262144	128	33.0921
524288	128	64.4264
1048576	128	127.32
2048	256	1.80386
4096	256	2.0028
8192	256	2.28464
16384	256	3.04301
32768	256	4.74069
65536	256	8.00939
131072	256	14.9086
262144	256	28.1978
524288	256	54.8403
1048576	256	108.227
2048	512	1.76063
4096	512	1.7655
8192	512	2.22236
16384	512	2.68638
32768	512	4.88138
65536	512	8.40445
131072	512	15.2217
262144	512	27.7096
524288	512	53.9857
1048576	512	105.59
2048	1024	2.09912
4096	1024	2.10457
8192	1024	2.1133
16384	1024	3.10962
32768	1024	5.40623
65536	1024	8.80877
131072	1024	15.0367
262144	1024	27.4831
524288	1024	53.3999
1048576	1024	105.445
