Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	5.44156
4096	32	5.65748
8192	32	7.20944
16384	32	9.20888
32768	32	13.7347
65536	32	22.901
131072	32	44.2008
262144	32	82.9996
524288	32	160.438
1048576	32	314.862
2048	64	3.399
4096	64	3.62976
8192	64	4.00232
16384	64	5.511
32768	64	8.08342
65536	64	13.2084
131072	64	25.4706
262144	64	47.4293
524288	64	91.5684
1048576	64	179.689
2048	128	2.43375
4096	128	2.54313
8192	128	2.83642
16384	128	3.7564
32768	128	5.62196
65536	128	9.44195
131072	128	17.7406
262144	128	33.4892
524288	128	64.8115
1048576	128	127.904
2048	256	1.89157
4096	256	2.07154
8192	256	2.35283
16384	256	3.10776
32768	256	4.80725
65536	256	8.08535
131072	256	15.0355
262144	256	28.3406
524288	256	55.0263
1048576	256	108.452
2048	512	1.79715
4096	512	1.81374
8192	512	2.2446
16384	512	2.71586
32768	512	4.93565
65536	512	8.49311
131072	512	15.2465
262144	512	27.7402
524288	512	53.9683
1048576	512	105.659
2048	1024	2.11791
4096	1024	2.12671
8192	1024	2.13451
16384	1024	3.16707
32768	1024	5.2436
65536	1024	8.77524
131072	1024	15.0686
262144	1024	27.4975
524288	1024	53.4454
1048576	1024	105.779
