Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	13.3594
4096	32	13.354
8192	32	16.6013
16384	32	20.5057
32768	32	28.2685
65536	32	43.8673
131072	32	75.8141
262144	32	154.979
524288	32	296.136
1048576	32	578.729
2048	64	12.7189
4096	64	13.0141
8192	64	13.408
16384	64	16.489
32768	64	20.6538
65536	64	28.9165
131072	64	45.9175
262144	64	89.2771
524288	64	164.915
1048576	64	315.698
2048	128	12.361
4096	128	12.649
8192	128	13.0978
16384	128	13.7239
32768	128	17.2158
65536	128	22.5659
131072	128	34.1126
262144	128	62.2235
524288	128	111.24
1048576	128	208.828
2048	256	12.0863
4096	256	12.2612
8192	256	12.7507
16384	256	13.5143
32768	256	17.1945
65536	256	22.5753
131072	256	34.313
262144	256	62.6252
524288	256	112.574
1048576	256	212.159
2048	512	12.2215
4096	512	12.2276
8192	512	12.6504
16384	512	13.7324
32768	512	17.1731
65536	512	22.9506
131072	512	35.2238
262144	512	64.5779
524288	512	116.588
1048576	512	220.559
2048	1024	12.9237
4096	1024	12.9685
8192	1024	13.0319
16384	1024	14.7332
32768	1024	18.6362
65536	1024	24.9028
131072	1024	37.9604
262144	1024	72.145
524288	1024	131.747
1048576	1024	250.774
