Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.57908
4096	32	4.76031
8192	32	6.29313
16384	32	8.14471
32768	32	12.044
65536	32	19.9939
131072	32	36.5394
262144	32	72.7372
524288	32	141.374
1048576	32	278.744
2048	64	2.9565
4096	64	3.07
8192	64	3.41265
16384	64	4.69379
32768	64	6.74175
65536	64	10.9984
131072	64	19.7943
262144	64	38.3997
524288	64	74.2918
1048576	64	146.009
2048	128	2.12355
4096	128	2.19799
8192	128	2.42587
16384	128	3.11364
32768	128	4.63972
65536	128	7.57118
131072	128	13.4532
262144	128	26.0211
524288	128	50.2444
1048576	128	98.7584
2048	256	1.69504
4096	256	1.84036
8192	256	2.04834
16384	256	2.62859
32768	256	4.04821
65536	256	6.62264
131072	256	11.7554
262144	256	22.5118
524288	256	43.6454
1048576	256	85.8478
2048	512	1.65926
4096	512	1.6637
8192	512	1.9721
16384	512	2.40588
32768	512	4.04464
65536	512	7.06304
131072	512	12.472
262144	512	22.9539
524288	512	44.4769
1048576	512	87.8657
2048	1024	1.91389
4096	1024	1.91993
8192	1024	1.92811
16384	1024	2.74587
32768	1024	4.56963
65536	1024	7.65112
131072	1024	12.9453
262144	1024	23.5876
524288	1024	45.8357
1048576	1024	89.9837
