Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	8.21264
4096	32	8.48247
8192	32	12.6273
16384	32	17.4256
32768	32	27.3129
65536	32	47.0918
131072	32	88.9362
262144	32	175.625
524288	32	344.983
1048576	32	683.498
2048	64	6.36894
4096	64	6.57508
8192	64	7.02113
16384	64	11.0224
32768	64	16.0534
65536	64	26.3246
131072	64	47.913
262144	64	92.9175
524288	64	181.209
1048576	64	357.833
2048	128	5.34445
4096	128	5.49908
8192	128	5.75618
16384	128	6.56234
32768	128	10.8935
65536	128	17.2325
131072	128	30.7732
262144	128	58.938
524288	128	114.356
1048576	128	225.221
2048	256	4.8521
4096	256	4.99457
8192	256	5.20947
16384	256	5.83954
32768	256	10.3627
65536	256	16.814
131072	256	29.7529
262144	256	56.5228
524288	256	110.071
1048576	256	217.159
2048	512	4.79183
4096	512	4.81031
8192	512	5.15062
16384	512	5.74318
32768	512	11.4075
65536	512	18.2596
131072	512	30.7793
262144	512	56.4824
524288	512	110.394
1048576	512	216.502
2048	1024	5.07901
4096	1024	5.08736
8192	1024	5.10839
16384	1024	6.51084
32768	1024	12.2114
65536	1024	18.6674
131072	1024	31.3964
262144	1024	57.3472
524288	1024	111.541
1048576	1024	220.452
