XDimSize	BlockSize	Time
2048	32	9.47465
4096	32	9.88673
8192	32	15.9256
16384	32	22.8754
32768	32	36.7494
65536	32	64.5581
131072	32	123.517
262144	32	244.182
524288	32	482.538
1048576	32	958.111
2048	64	8.03771
4096	64	8.31846
8192	64	8.76739
16384	64	15.0019
32768	64	22.416
65536	64	37.6465
131072	64	69.176
262144	64	134.798
524288	64	264.371
1048576	64	523.567
2048	128	7.28655
4096	128	7.45192
8192	128	7.78334
16384	128	9.01214
32768	128	15.6437
65536	128	25.2668
131072	128	45.5567
262144	128	87.2272
524288	128	169.777
1048576	128	334.986
2048	256	6.85165
4096	256	7.10684
8192	256	7.35074
16384	256	8.26707
32768	256	15.3016
65536	256	25.2883
131072	256	45.1636
262144	256	83.8434
524288	256	162.276
1048576	256	318.476
2048	512	6.92496
4096	512	6.92107
8192	512	7.53095
16384	512	8.42763
32768	512	17.2411
65536	512	27.1966
131072	512	45.6302
262144	512	83.3516
524288	512	163.266
1048576	512	320.949
2048	1024	7.37709
4096	1024	7.38046
8192	1024	7.39715
16384	1024	9.37602
32768	1024	17.4619
65536	1024	27.3597
131072	1024	45.9303
262144	1024	83.9552
524288	1024	163.884
1048576	1024	322.796
