XDimSize	BlockSize	Time
2048	32	7.63823
4096	32	7.91727
8192	32	12.0843
16384	32	16.9373
32768	32	26.6601
65536	32	46.2926
131072	32	87.7134
262144	32	173.594
524288	32	341.434
1048576	32	677.272
2048	64	6.07002
4096	64	6.25724
8192	64	6.7095
16384	64	10.7938
32768	64	15.8164
65536	64	26.0212
131072	64	47.3445
262144	64	91.9771
524288	64	179.827
1048576	64	355.331
2048	128	5.27028
4096	128	5.41468
8192	128	5.68007
16384	128	6.46548
32768	128	10.8403
65536	128	17.1407
131072	128	30.6445
262144	128	58.6842
524288	128	114.069
1048576	128	224.793
2048	256	4.86864
4096	256	5.0165
8192	256	5.22304
16384	256	5.83496
32768	256	10.4129
65536	256	16.8417
131072	256	29.8061
262144	256	56.5943
524288	256	110.175
1048576	256	217.492
2048	512	4.80853
4096	512	4.81989
8192	512	5.16758
16384	512	5.77173
32768	512	11.4012
65536	512	18.2047
131072	512	30.818
262144	512	56.5719
524288	512	110.655
1048576	512	216.946
2048	1024	5.08803
4096	1024	5.10003
8192	1024	5.1284
16384	1024	6.61564
32768	1024	12.2348
65536	1024	18.6928
131072	1024	31.5073
262144	1024	57.5535
524288	1024	111.638
1048576	1024	219.994
