Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Euler,Double,Classic,2048,105.131,104.481,106.081,105.778,110.832,
Euler,Double,Classic,4096,108.262,107.438,106.836,110.824,111.153,
Euler,Double,Classic,8192,149.433,113.676,113.053,115.658,160.542,
Euler,Double,Classic,16384,200.937,156.226,156.706,162.575,220.221,
Euler,Double,Classic,32768,311.807,223.725,225.032,239.83,344.19,
Euler,Double,Classic,65536,525.248,362.276,364.896,415.294,584.003,
Euler,Double,Classic,131072,970.107,642.281,647.691,748.297,1091.45,
Euler,Double,Classic,262144,1852.58,1190.21,1201.66,1403.96,2074.47,
Euler,Double,Classic,524288,3619.17,2289.64,2312.52,2712.05,4080.58,
Euler,Double,Classic,1048576,7151.47,4489.01,4533.94,5327.84,8056.5,
Euler,Double,SweptCPUshare,2048,109.798,104.02,139.132,163.728,289.254,
Euler,Double,SweptCPUshare,4096,112.006,113.786,141.797,192.403,302.402,
Euler,Double,SweptCPUshare,8192,195.242,114.033,138.883,233.244,333.31,
Euler,Double,SweptCPUshare,16384,290.089,212.187,206.247,284.094,387.477,
Euler,Double,SweptCPUshare,32768,482.983,394.556,396.416,473.863,472.872,
Euler,Double,SweptCPUshare,65536,858.252,694.367,695.66,860.488,854.229,
Euler,Double,SweptCPUshare,131072,1656.79,1290.42,1368.22,1683.87,1653.9,
Euler,Double,SweptCPUshare,262144,3202.94,2515.69,2676.18,3283.96,3261.31,
Euler,Double,SweptCPUshare,524288,6381.48,4967.76,5324.57,6537.96,6479.87,
Euler,Double,SweptCPUshare,1048576,12660.6,9883.56,10585.2,13015.0,12912.4,
Euler,Double,SweptGPU,2048,176.619,136.983,138.842,139.128,141.512,
Euler,Double,SweptGPU,4096,179.144,140.155,141.217,141.422,142.054,
Euler,Double,SweptGPU,8192,222.518,144.726,145.238,186.299,186.759,
Euler,Double,SweptGPU,16384,275.997,197.616,194.775,281.162,280.382,
Euler,Double,SweptGPU,32768,461.34,383.741,382.64,469.61,467.345,
Euler,Double,SweptGPU,65536,837.007,682.712,682.774,856.878,854.166,
Euler,Double,SweptGPU,131072,1634.09,1319.08,1357.9,1682.36,1680.41,
Euler,Double,SweptGPU,262144,3178.58,2581.94,2662.73,3274.85,3267.81,
Euler,Double,SweptGPU,524288,6344.87,5134.69,5308.3,6531.53,6510.74,
Euler,Double,SweptGPU,1048576,12603.9,10224.8,10559.9,12989.1,12937.3,
Euler,Single,Classic,2048,87.5032,86.8503,87.204,86.3116,88.5375,92.501
