Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Euler,Double,Classic,2048,104.451,103.929,105.965,105.621,110.935,
Euler,Double,Classic,4096,107.523,107.424,106.764,110.903,111.386,
Euler,Double,Classic,8192,148.318,113.739,113.713,115.7,160.417,
Euler,Double,Classic,16384,199.959,155.84,156.528,162.394,220.011,
Euler,Double,Classic,32768,309.541,222.832,224.118,239.118,343.176,
Euler,Double,Classic,65536,522.552,360.743,363.477,413.667,582.452,
Euler,Double,Classic,131072,966.247,639.138,645.215,747.14,1090.18,
Euler,Double,Classic,262144,1847.32,1186.95,1199.49,1402.79,2073.26,
Euler,Double,Classic,524288,3609.05,2285.29,2309.73,2710.93,4078.39,
Euler,Double,Classic,1048576,7134.63,4482.05,4530.85,5325.24,8054.61,
Euler,Double,SweptCPUshare,2048,103.728,100.6,127.985,169.02,301.379,
Euler,Double,SweptCPUshare,4096,107.883,106.121,120.069,169.949,298.419,
Euler,Double,SweptCPUshare,8192,183.16,111.71,123.072,228.557,339.708,
Euler,Double,SweptCPUshare,16384,277.651,201.127,197.327,281.809,391.324,
Euler,Double,SweptCPUshare,32768,463.245,371.715,384.366,470.958,485.45,
Euler,Double,SweptCPUshare,65536,827.121,673.225,683.774,857.451,853.556,
Euler,Double,SweptCPUshare,131072,1599.54,1262.04,1354.1,1679.5,1653.09,
Euler,Double,SweptCPUshare,262144,3100.24,2464.98,2656.78,3274.65,3259.06,
Euler,Double,SweptCPUshare,524288,6168.41,4878.41,5293.91,6518.4,6476.09,
Euler,Double,SweptCPUshare,1048576,12243.1,9710.87,10534.4,12974.1,12910.2,
Euler,Double,SweptGPU,2048,95.2595,98.5429,97.4006,96.6933,99.2273,
Euler,Double,SweptGPU,4096,98.3365,101.851,100.933,100.274,99.1932,
Euler,Double,SweptGPU,8192,182.683,105.975,106.153,180.026,186.001,
Euler,Double,SweptGPU,16384,275.564,183.894,176.064,265.113,283.767,
Euler,Double,SweptGPU,32768,462.027,308.3,339.882,452.891,471.554,
