Problem,Precision,Algorithm,#_Spatial_Points,32,64,128,256,512,1024
Euler,Double,Classic,2048,171.513,173.401,194.651,188.933,226.834,305.769
Euler,Double,Classic,4096,200.821,206.822,211.046,229.071,227.054,309.698
Euler,Double,Classic,8192,280.555,247.584,252.706,269.285,313.575,315.609
Euler,Double,Classic,16384,416.518,481.079,488.401,516.359,545.877,609.112
Euler,Double,Classic,32768,695.998,824.753,822.504,830.321,865.199,926.03
Euler,Double,Classic,65536,1240.46,1518.74,1508.0,1484.73,1516.53,1589.19
Euler,Double,Classic,131072,2363.73,2938.28,2911.21,2855.84,2903.37,3018.17
Euler,Double,Classic,262144,4603.11,5776.85,5702.69,5570.32,5645.59,5822.56
Euler,Double,Classic,524288,9080.2,11450.5,11281.4,10959.6,11117.3,11476.7
Euler,Double,Classic,1048576,18035.5,22798.3,22438.7,21732.9,22031.4,22791.0
Euler,Double,SweptCPUshare,2048,178.133,185.374,182.22,231.552,348.14,
Euler,Double,SweptCPUshare,4096,230.194,237.62,219.212,255.263,349.959,
Euler,Double,SweptCPUshare,8192,418.686,301.924,278.458,376.535,455.967,
Euler,Double,SweptCPUshare,16384,710.153,590.286,517.552,608.402,600.643,
Euler,Double,SweptCPUshare,32768,1222.1,1116.1,976.044,1013.4,984.453,
Euler,Double,SweptCPUshare,65536,2230.05,2046.32,1770.01,1823.73,1759.77,
Euler,Double,SweptCPUshare,131072,4346.64,3862.99,3502.29,3529.41,3393.96,
Euler,Double,SweptCPUshare,262144,8587.22,7596.16,6893.54,6944.65,6658.65,
Euler,Double,SweptCPUshare,524288,17067.6,15091.1,13662.0,13820.8,13215.7,
Euler,Double,SweptCPUshare,1048576,34074.9,30133.9,27166.7,27559.3,26318.8,
Euler,Double,SweptGPU,2048,275.239,227.278,235.202,232.227,266.625,
Euler,Double,SweptGPU,4096,321.511,274.645,266.595,266.271,266.809,
Euler,Double,SweptGPU,8192,448.933,344.072,322.914,372.167,371.739,
Euler,Double,SweptGPU,16384,670.765,563.799,494.486,578.656,561.41,
Euler,Double,SweptGPU,32768,1189.75,1085.16,947.685,980.585,940.749,
Euler,Double,SweptGPU,65536,2185.47,2005.14,1734.04,1784.96,1709.97,
Euler,Double,SweptGPU,131072,4288.57,3800.43,3448.66,3490.14,3359.12,
Euler,Double,SweptGPU,262144,8481.27,7494.16,6846.45,6863.3,6562.94,
Euler,Double,SweptGPU,524288,16877.7,14894.9,13610.1,13655.0,13049.3,
Euler,Double,SweptGPU,1048576,33707.9,29756.5,27104.2,27228.0,25998.2,
Euler,Single,Classic,2048,87.1455,86.6083,87.4104,86.3626,88.5589,92.4373
Euler,Single,Classic,4096,87.573,87.022,86.758,88.2168,88.4023,93.2725
Euler,Single,Classic,8192,120.337,88.5084,90.4097,88.5539,92.2367,93.1292
Euler,Single,Classic,16384,161.508,121.763,95.8876,97.7909,126.043,132.921
Euler,Single,Classic,32768,245.096,166.124,142.851,143.157,174.179,181.854
Euler,Single,Classic,65536,420.765,262.257,232.518,235.106,275.972,284.798
Euler,Single,Classic,131072,783.777,456.847,404.05,405.965,476.243,485.358
Euler,Single,Classic,262144,1502.42,847.563,739.025,747.588,883.901,910.617
Euler,Single,Classic,524288,2940.19,1628.31,1412.2,1426.16,1708.06,1733.65
Euler,Single,Classic,1048576,5816.28,3191.28,2757.53,2787.77,3343.21,3417.21
Euler,Single,SweptCPUshare,2048,93.9493,96.4869,163.493,275.926,460.986,822.149
Euler,Single,SweptCPUshare,4096,95.7648,99.467,144.645,243.13,463.536,846.6
Euler,Single,SweptCPUshare,8192,161.423,105.619,170.395,244.35,451.177,831.352
Euler,Single,SweptCPUshare,16384,236.649,170.374,170.627,277.026,491.391,882.891
Euler,Single,SweptCPUshare,32768,386.133,255.755,213.361,320.469,527.029,922.436
Euler,Single,SweptCPUshare,65536,692.575,427.393,350.501,409.186,607.018,1006.11
Euler,Single,SweptCPUshare,131072,1332.99,770.307,686.031,739.74,783.272,1170.38
Euler,Single,SweptCPUshare,262144,2573.59,1489.32,1334.56,1440.46,1437.44,1522.44
Euler,Single,SweptCPUshare,524288,5124.27,2904.56,2593.38,2821.94,2820.92,2782.67
Euler,Single,SweptCPUshare,1048576,10267.4,5786.2,5164.08,5605.21,5608.95,5540.27
Euler,Single,SweptGPU,2048,146.156,113.892,113.718,114.146,115.766,120.231
Euler,Single,SweptGPU,4096,147.485,115.047,115.395,115.257,115.875,119.895
Euler,Single,SweptGPU,8192,180.49,118.634,117.595,118.453,119.844,120.059
Euler,Single,SweptGPU,16384,222.471,159.074,124.219,159.338,160.617,160.169
Euler,Single,SweptGPU,32768,370.589,248.407,208.826,240.807,243.313,240.407
Euler,Single,SweptGPU,65536,675.954,421.13,376.59,404.584,407.242,401.008
Euler,Single,SweptGPU,131072,1321.35,768.666,714.127,738.998,741.332,732.739
Euler,Single,SweptGPU,262144,2569.13,1505.29,1399.56,1450.58,1452.25,1441.87
Euler,Single,SweptGPU,524288,5141.41,2936.81,2736.08,2836.22,2841.42,2804.16
Euler,Single,SweptGPU,1048576,10316.3,5861.81,5456.11,5643.54,5651.77,5603.09
Heat,Double,Classic,2048,5.3299,5.11512,5.06509,5.02072,5.04793,5.16267
Heat,Double,Classic,4096,5.36672,5.18723,5.21249,5.10096,5.07902,5.17029
Heat,Double,Classic,8192,5.94856,5.25565,5.20333,5.19356,5.21518,5.21027
Heat,Double,Classic,16384,6.9727,5.97814,5.27915,5.26983,5.3753,5.41412
Heat,Double,Classic,32768,9.01514,7.05856,6.1224,6.14034,6.21515,6.52265
Heat,Double,Classic,65536,13.0924,9.24398,7.44686,7.50426,7.60899,8.1103
Heat,Double,Classic,131072,25.4883,19.0635,16.0925,16.3525,16.57,16.93
Heat,Double,Classic,262144,45.4746,32.8958,27.3377,27.7134,28.3569,28.8893
Heat,Double,Classic,524288,85.6618,60.3579,49.9233,50.8704,51.9751,52.8602
Heat,Double,Classic,1048576,165.945,115.866,95.0502,97.1285,99.5053,100.904
Heat,Double,SweptCPUshare,2048,3.82848,2.40026,1.95052,3.43486,3.57002,6.47117
Heat,Double,SweptCPUshare,4096,3.94902,2.61147,2.02361,3.59885,6.57516,7.00776
Heat,Double,SweptCPUshare,8192,4.69806,2.61565,2.11184,2.51157,3.92273,5.89997
Heat,Double,SweptCPUshare,16384,5.51608,3.43026,2.12226,2.77137,4.0978,6.03826
Heat,Double,SweptCPUshare,32768,7.449,4.553,2.95399,3.04425,4.26208,7.87702
Heat,Double,SweptCPUshare,65536,11.7907,7.0184,4.59415,4.19427,5.22417,8.75104
Heat,Double,SweptCPUshare,131072,20.6442,12.4666,8.18167,7.30562,8.09139,9.2627
Heat,Double,SweptCPUshare,262144,37.3822,22.4987,14.9438,13.701,13.7558,14.8346
Heat,Double,SweptCPUshare,524288,70.9778,43.1952,28.7163,26.4867,26.5737,28.8923
Heat,Double,SweptCPUshare,1048576,138.418,84.3038,56.1743,51.8193,52.2096,57.0583
Heat,Double,SweptGPU,2048,1.77592,1.32425,1.0888,0.967425,1.03048,1.23985
Heat,Double,SweptGPU,4096,1.90324,1.42709,1.135,1.0502,1.03708,1.24273
Heat,Double,SweptGPU,8192,2.62128,1.57908,1.26178,1.14969,1.2078,1.24925
Heat,Double,SweptGPU,16384,3.5484,2.34648,1.64319,1.41964,1.42365,1.65929
