Num Spatial Points,/2016-09-20,/2016-09-29,/Saved2016_10_17,/Saved2016_12_29,/Saved2017_01_26
2048,93.735,59.8706,43.0085,42.3704,38.633
4096,96.9392,60.9469,43.7499,43.3065,39.7171
8192,102.349,64.9912,48.312,47.2953,41.7926
16384,195.239,119.069,89.1952,88.2133,66.3748
32768,382.199,183.168,156.079,135.09,102.822
65536,680.135,363.124,292.266,266.707,179.313
131072,1280.98,715.485,577.743,526.464,355.314
262144,2505.92,1398.29,1138.69,1030.41,706.199
524288,4961.59,2768.94,2262.42,2039.36,1401.33
1048576,9889.9,5508.6,4514.19,4059.9,2798.16
