Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	35.1379
4096	32	36.0303
8192	32	47.8643
16384	32	69.6691
32768	32	113.395
65536	32	209.467
131072	32	385.651
262144	32	734.19
524288	32	1431.55
1048576	32	2827.39
2048	64	35.4385
4096	64	36.0228
8192	64	37.8769
16384	64	51.7219
32768	64	79.3876
65536	64	141.959
131072	64	247.453
262144	64	458.254
524288	64	879.377
1048576	64	1721.61
2048	128	35.0523
4096	128	35.9871
8192	128	37.752
16384	128	45.168
32768	128	75.2484
65536	128	137.037
131072	128	237.715
262144	128	439.612
524288	128	842.691
1048576	128	1648.98
2048	256	35.7692
4096	256	35.5009
8192	256	38.3563
16384	256	53.9574
32768	256	82.5556
65536	256	147.453
131072	256	255.895
262144	256	475.131
524288	256	912.445
1048576	256	1786.34
2048	512	38.1158
4096	512	37.2576
8192	512	39.1565
16384	512	59.4122
32768	512	89.0027
65536	512	156.917
131072	512	276.47
262144	512	512.052
524288	512	991.729
1048576	512	1950.53
2048	1024	43.4687
4096	1024	43.8169
8192	1024	43.3535
16384	1024	72.5013
32768	1024	109.235
65536	1024	190.516
131072	1024	331.1
262144	1024	615.239
524288	1024	1179.33
1048576	1024	2309.68
