Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	35.6009
4096	32	36.5332
8192	32	54.1307
16384	32	78.5501
32768	32	127.509
65536	32	235.855
131072	32	438.991
262144	32	842.355
524288	32	1649.13
1048576	32	3262.55
2048	64	35.6961
4096	64	36.7323
8192	64	38.0569
16384	64	59.6776
32768	64	90.8491
65536	64	166.291
131072	64	296.764
262144	64	556.508
524288	64	1076.44
1048576	64	2116.47
2048	128	34.9999
4096	128	36.7389
8192	128	38.0975
16384	128	59.9432
32768	128	91.2286
65536	128	166.694
131072	128	297.672
262144	128	558.073
524288	128	1079.46
1048576	128	2122.2
2048	256	36.1195
4096	256	35.8075
8192	256	39.2098
16384	256	62.2856
32768	256	98.0804
65536	256	187.33
131072	256	337.016
262144	256	634.652
524288	256	1228.03
1048576	256	2416.73
2048	512	38.4336
4096	512	38.2319
8192	512	62.6304
16384	512	91.3762
32768	512	149.185
65536	512	271.917
131072	512	510.223
262144	512	976.378
524288	512	1924.81
1048576	512	3807.77
