Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	42.0601
4096	32	43.5814
8192	32	62.7003
16384	32	93.788
32768	32	157.735
65536	32	287.567
131072	32	562.574
262144	32	1120.75
524288	32	2246.66
1048576	32	4502.46
2048	64	39.8791
4096	64	41.6914
8192	64	44.9215
16384	64	73.7418
32768	64	114.987
65536	64	196.042
131072	64	385.001
262144	64	771.944
524288	64	1558.5
1048576	64	3167.8
2048	128	42.5418
4096	128	40.9664
8192	128	42.9607
16384	128	67.3145
32768	128	105.847
65536	128	180.034
131072	128	356.618
262144	128	709.169
524288	128	1409.17
1048576	128	2816.49
2048	256	54.2084
4096	256	55.4026
8192	256	55.4025
16384	256	73.6478
32768	256	103.394
65536	256	203.152
131072	256	401.248
262144	256	785.967
524288	256	1554.09
1048576	256	3094.52
2048	512	81.4031
4096	512	82.1501
8192	512	103.721
16384	512	110.522
32768	512	156.614
65536	512	285.355
131072	512	553.069
262144	512	1087.35
524288	512	2169.47
1048576	512	4318.6
