Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	40.469
4096	32	42.1899
8192	32	60.288
16384	32	94.7971
32768	32	158.332
65536	32	286.566
131072	32	559.321
262144	32	1109.36
524288	32	2220.96
1048576	32	4448.99
2048	64	39.0831
4096	64	40.9068
8192	64	43.8726
16384	64	71.7941
32768	64	113.75
65536	64	193.999
131072	64	381.412
262144	64	760.053
524288	64	1518.42
1048576	64	3050.33
2048	128	38.686
4096	128	40.3003
8192	128	41.834
16384	128	66.4118
32768	128	105.323
65536	128	179.159
131072	128	355.002
262144	128	705.387
524288	128	1398.92
1048576	128	2794.31
2048	256	40.3911
4096	256	39.8269
8192	256	42.3489
16384	256	66.9861
32768	256	102.885
65536	256	202.468
131072	256	399.448
262144	256	782.252
524288	256	1546.29
1048576	256	3076.53
2048	512	41.6765
4096	512	41.3492
8192	512	62.0417
16384	512	93.2603
32768	512	155.732
65536	512	284.006
131072	512	556.072
262144	512	1082.25
524288	512	2157.26
1048576	512	4294.11
