Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	64	40.2855
4096	64	41.8474
8192	64	44.2857
16384	64	74.5845
32768	64	118.177
65536	64	204.616
131072	64	403.254
262144	64	804.402
524288	64	1615.95
2048	128	39.5067
4096	128	40.8294
8192	128	42.062
16384	128	68.9338
32768	128	109.509
65536	128	187.972
131072	128	368.076
262144	128	730.462
524288	128	1443.22
2048	256	40.0705
4096	256	39.7485
8192	256	41.6022
16384	256	69.57
32768	256	107.213
65536	256	209.723
131072	256	412.79
262144	256	806.725
524288	256	1594.93
2048	512	42.3492
4096	512	40.8644
8192	512	61.2763
16384	512	93.4356
32768	512	157.965
65536	512	289.664
131072	512	568.864
262144	512	1108.24
524288	512	2203.43
