Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	57.4516
4096	32	59.6699
8192	32	94.1675
16384	32	135.825
32768	32	227.16
65536	32	406.467
131072	32	773.102
262144	32	1532.12
524288	32	3051.35
1048576	32	6122.44
2048	64	53.693
4096	64	55.8212
8192	64	59.4806
16384	64	100.496
32768	64	192.172
65536	64	331.85
131072	64	651.376
262144	64	1320.55
524288	64	2684.35
1048576	64	5416.69
2048	128	52.9046
4096	128	56.1818
8192	128	59.6879
16384	128	101.599
32768	128	187.3
65536	128	326.148
131072	128	649.323
262144	128	1271.73
524288	128	2529.45
1048576	128	5018.17
2048	256	63.2691
4096	256	63.814
8192	256	99.5529
16384	256	143.611
32768	256	228.163
65536	256	414.264
131072	256	789.867
262144	256	1530.08
524288	256	2982.03
1048576	256	5874.26
2048	512	72.2632
4096	512	71.5816
8192	512	90.8103
16384	512	152.541
32768	512	268.459
65536	512	439.094
131072	512	807.539
262144	512	1523.12
524288	512	2961.01
1048576	512	5798.67
