Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	46.2571
4096	32	48.7988
8192	32	83.1701
16384	32	125.507
32768	32	214.835
65536	32	389.02
131072	32	755.903
262144	32	1487.27
524288	32	2965.81
1048576	32	5949.15
2048	64	44.7703
4096	64	47.2487
8192	64	51.0668
16384	64	91.1211
32768	64	162.852
65536	64	304.005
131072	64	603.07
262144	64	1205.87
524288	64	2428.72
1048576	64	4890.34
2048	128	43.0085
4096	128	46.1533
8192	128	48.312
16384	128	89.1952
32768	128	156.079
65536	128	292.266
131072	128	577.743
262144	128	1138.69
524288	128	2262.42
1048576	128	4514.19
2048	256	44.2142
4096	256	43.7499
8192	256	65.0488
16384	256	106.963
32768	256	172.507
65536	256	325.224
131072	256	638.63
262144	256	1245.46
524288	256	2473.2
1048576	256	4926.33
2048	512	45.8834
4096	512	45.9826
8192	512	82.4084
16384	512	123.579
32768	512	206.299
65536	512	376.788
131072	512	739.829
262144	512	1437.05
524288	512	2868.01
1048576	512	5710.04
