Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	53.4628
4096	32	52.7976
8192	32	52.8372
16384	32	71.05
32768	32	108.902
65536	32	193.829
131072	32	381.929
262144	32	731.013
524288	32	1440.45
1048576	32	2853.48
2048	64	53.243
4096	64	53.6239
8192	64	51.9788
16384	64	53.5076
32768	64	73.422
65536	64	118.63
131072	64	220.935
262144	64	413.163
524288	64	792.542
1048576	64	1556.36
2048	128	52.4928
4096	128	53.3137
8192	128	52.9866
16384	128	52.9667
32768	128	61.9865
65536	128	91.1838
131072	128	162.938
262144	128	295.764
524288	128	561.154
1048576	128	1092.41
2048	256	53.135
4096	256	52.5359
8192	256	53.2761
16384	256	55.1511
32768	256	61.8588
65536	256	92.1577
131072	256	162.714
262144	256	296.135
524288	256	562.286
1048576	256	1094.7
2048	512	55.628
4096	512	53.908
8192	512	52.3636
16384	512	57.0068
32768	512	64.7081
65536	512	93.746
131072	512	167.223
262144	512	302.521
524288	512	575.346
1048576	512	1120.67
2048	1024	58.5621
4096	1024	58.2633
8192	1024	55.3423
16384	1024	54.0255
32768	1024	69.3888
65536	1024	102.307
131072	1024	180.581
262144	1024	330.266
524288	1024	630.835
1048576	1024	1231.05
