Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	39.7577
4096	32	40.0247
8192	32	55.8569
16384	32	81.4906
32768	32	131.325
65536	32	233.316
131072	32	462.368
262144	32	889.266
524288	32	1751.88
1048576	32	3468.51
2048	64	39.6784
4096	64	40.3758
8192	64	41.0176
16384	64	57.9801
32768	64	84.8433
65536	64	138.966
131072	64	259.512
262144	64	491.513
524288	64	947.817
1048576	64	1862.45
2048	128	39.1145
4096	128	40.3299
8192	128	41.1988
16384	128	43.3692
32768	128	66.7687
65536	128	109.672
131072	128	202.373
262144	128	375.315
524288	128	720.635
1048576	128	1411.2
2048	256	40.0891
4096	256	39.6509
8192	256	41.6115
16384	256	44.6154
32768	256	67.2994
65536	256	111.991
131072	256	203.827
262144	256	378.128
524288	256	725.285
1048576	256	1420.16
2048	512	41.2854
4096	512	41.0312
8192	512	40.6361
16384	512	47.0386
32768	512	70.1351
65536	512	114.986
131072	512	210.504
262144	512	387.909
524288	512	747.068
1048576	512	1460.26
2048	1024	43.9993
4096	1024	44.0509
8192	1024	43.7789
16384	1024	68.1021
32768	1024	99.5918
65536	1024	162.399
131072	1024	297.585
262144	1024	567.489
524288	1024	1090.75
1048576	1024	2158.76
