Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	45.0211
4096	32	46.2118
8192	32	77.4504
16384	32	116.328
32768	32	192.769
65536	32	351.705
131072	32	688.807
262144	32	1330.52
524288	32	2653.23
1048576	32	5273.6
2048	64	44.3242
4096	64	45.464
8192	64	46.8635
16384	64	81.8517
32768	64	125.527
65536	64	211.884
131072	64	386.984
262144	64	758.643
524288	64	1474.98
1048576	64	2942.1
2048	128	44.4789
4096	128	46.7758
8192	128	48.1126
16384	128	49.559
32768	128	88.9464
65536	128	175.915
131072	128	312.635
262144	128	619.457
524288	128	1219.21
1048576	128	2424.14
2048	256	65.9686
4096	256	71.6898
8192	256	69.6737
16384	256	69.4367
32768	256	96.5069
65536	256	174.289
131072	256	310.684
262144	256	615.298
524288	256	1211.24
1048576	256	2409.72
2048	512	97.6596
4096	512	110.362
8192	512	112.741
16384	512	138.776
32768	512	173.921
65536	512	212.789
131072	512	398.475
262144	512	755.976
524288	512	1471.27
1048576	512	2930.5
2048	1024	180.71
4096	1024	180.736
8192	1024	181.936
16384	1024	214.313
32768	1024	208.695
65536	1024	328.203
131072	1024	451.551
262144	1024	738.422
524288	1024	1451.99
1048576	1024	2893.5
