Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	58.5883
4096	32	56.4993
8192	32	63.4148
16384	32	94.6973
32768	32	157.679
65536	32	286.703
131072	32	560.487
262144	32	1085.27
524288	32	2162.68
1048576	32	4309.79
2048	64	55.3733
4096	64	57.0312
8192	64	56.529
16384	64	66.3159
32768	64	101.994
65536	64	172.398
131072	64	314.985
262144	64	616.394
524288	64	1219.83
1048576	64	2437.95
2048	128	54.7766
4096	128	56.1933
8192	128	56.6388
16384	128	57.5358
32768	128	73.5693
65536	128	142.905
131072	128	254.664
262144	128	504.146
524288	128	989.971
1048576	128	1973.15
2048	256	55.41
4096	256	55.6116
8192	256	56.4523
16384	256	57.0133
32768	256	72.9213
65536	256	142.018
131072	256	253.47
262144	256	501.147
524288	256	988.682
1048576	256	1964.24
2048	512	55.8448
4096	512	56.9058
8192	512	54.9213
16384	512	68.9283
32768	512	103.152
65536	512	171.527
131072	512	311.875
262144	512	612.59
524288	512	1194.75
1048576	512	2380.02
2048	1024	58.4827
4096	1024	58.8459
8192	1024	57.7039
16384	1024	69.679
32768	1024	102.845
65536	1024	169.991
131072	1024	310.913
262144	1024	610.866
524288	1024	1185.11
1048576	1024	2364.53
