Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	58.5734
4096	32	56.5752
8192	32	62.8886
16384	32	92.9031
32768	32	152.187
65536	32	277.971
131072	32	542.443
262144	32	1051.41
524288	32	2093.88
1048576	32	4183.39
2048	64	55.8109
4096	64	56.0682
8192	64	55.8362
16384	64	66.078
32768	64	100.858
65536	64	170.553
131072	64	311.773
262144	64	608.795
524288	64	1207.02
1048576	64	2412.62
2048	128	55.0224
4096	128	57.325
8192	128	59.4707
16384	128	57.2059
32768	128	72.705
65536	128	141.553
131072	128	251.866
262144	128	498.405
524288	128	978.821
1048576	128	1948.78
2048	256	61.5336
4096	256	69.1587
8192	256	67.3921
16384	256	73.1705
32768	256	78.0767
65536	256	139.798
131072	256	249.224
262144	256	492.326
524288	256	971.477
1048576	256	1929.91
2048	512	103.355
4096	512	96.3234
8192	512	99.1044
16384	512	131.393
32768	512	140.958
65536	512	177.319
131072	512	304.27
262144	512	593.587
524288	512	1160.34
1048576	512	2309.17
2048	1024	210.026
4096	1024	158.819
8192	1024	188.203
16384	1024	216.447
32768	1024	238.902
65536	1024	292.892
131072	1024	445.582
262144	1024	605.232
524288	1024	1152.58
1048576	1024	2297.92
