Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	57.1155
4096	32	54.8521
8192	32	61.3375
16384	32	91.5107
32768	32	151.802
65536	32	275.977
131072	32	539.928
262144	32	1046.2
524288	32	2084.55
1048576	32	4157.94
2048	64	55.0079
4096	64	55.1952
8192	64	54.8448
16384	64	64.4233
32768	64	99.1772
65536	64	167.688
131072	64	306.773
262144	64	599.851
524288	64	1185.95
1048576	64	2368.6
2048	128	54.2449
4096	128	54.5104
8192	128	55.3069
16384	128	56.0551
32768	128	71.3661
65536	128	139.318
131072	128	247.861
262144	128	491.072
524288	128	964.014
1048576	128	1920.65
2048	256	54.7109
4096	256	53.8417
8192	256	54.6764
16384	256	55.3593
32768	256	70.8135
65536	256	137.972
131072	256	246.039
262144	256	486.681
524288	256	959.788
1048576	256	1908.12
2048	512	55.1046
4096	512	54.9728
8192	512	52.8737
16384	512	66.3902
32768	512	99.8107
65536	512	166.221
131072	512	302.787
262144	512	592.759
524288	512	1157.74
1048576	512	2302.25
2048	1024	57.8475
4096	1024	56.9383
8192	1024	55.6241
16384	1024	67.2613
32768	1024	99.3091
65536	1024	164.228
131072	1024	300.419
262144	1024	590.315
524288	1024	1144.98
1048576	1024	2284
