Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.5461
4096	32	4.7615
8192	32	5.56582
16384	32	6.27349
32768	32	7.98726
65536	32	11.5092
131072	32	22.9289
262144	32	40.8547
524288	32	76.5919
1048576	32	148.272
2048	64	4.49147
4096	64	4.60011
8192	64	4.84856
16384	64	5.44515
32768	64	6.36368
65536	64	8.19103
131072	64	17.3794
262144	64	30.1323
524288	64	55.4696
1048576	64	105.868
2048	128	4.48319
4096	128	4.5839
8192	128	4.72659
16384	128	4.99129
32768	128	5.63378
65536	128	6.7258
131072	128	14.4644
262144	128	24.9541
524288	128	45.7318
1048576	128	87.546
2048	256	4.48148
4096	256	4.61324
8192	256	4.77775
16384	256	5.03207
32768	256	5.70694
65536	256	6.85504
131072	256	14.6782
262144	256	25.2494
524288	256	46.2839
1048576	256	88.5396
2048	512	4.63301
4096	512	4.66064
8192	512	4.8916
16384	512	5.15093
32768	512	6.00652
65536	512	7.32057
131072	512	15.3075
262144	512	26.539
524288	512	48.4612
1048576	512	92.6173
2048	1024	4.8686
4096	1024	4.89316
8192	1024	4.94738
16384	1024	5.45683
32768	1024	6.58134
65536	1024	8.24366
131072	1024	17.1465
262144	1024	29.0409
524288	1024	52.9818
1048576	1024	101.137
