Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.97013
4096	32	5.05824
8192	32	5.96067
16384	32	6.92018
32768	32	8.95647
65536	32	13.0412
131072	32	25.5446
262144	32	45.4877
524288	32	85.6005
1048576	32	165.715
2048	64	4.98188
4096	64	5.01425
8192	64	5.15761
16384	64	6.17112
32768	64	7.2155
65536	64	9.39336
131072	64	19.2906
262144	64	33.1072
524288	64	60.5908
1048576	64	115.752
2048	128	4.97755
4096	128	5.03452
8192	128	5.17608
16384	128	5.42476
32768	128	6.33502
65536	128	7.67137
131072	128	16.2825
262144	128	27.5952
524288	128	49.8317
1048576	128	94.6716
2048	256	4.91859
4096	256	4.98906
8192	256	5.22515
16384	256	5.48084
32768	256	6.41281
65536	256	7.82288
131072	256	16.5279
262144	256	27.9171
524288	256	50.7394
1048576	256	96.4804
2048	512	4.98865
4096	512	4.98183
8192	512	5.22582
16384	512	5.63664
32768	512	6.5252
65536	512	7.8417
131072	512	16.6517
262144	512	27.8974
524288	512	50.3567
1048576	512	95.5068
2048	1024	5.18971
4096	1024	5.18964
8192	1024	5.22153
16384	1024	5.74112
32768	1024	6.80953
65536	1024	8.38491
131072	1024	17.5254
262144	1024	29.6433
524288	1024	53.7083
1048576	1024	101.993
