Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.98492
4096	32	5.0698
8192	32	5.97103
16384	32	6.93845
32768	32	8.97516
65536	32	13.051
131072	32	25.5854
262144	32	45.5575
524288	32	85.7219
1048576	32	165.935
2048	64	4.99307
4096	64	5.02827
8192	64	5.19387
16384	64	6.18798
32768	64	7.24302
65536	64	9.40713
131072	64	19.3097
262144	64	33.1735
524288	64	60.6943
1048576	64	115.954
2048	128	4.9878
4096	128	5.0399
8192	128	5.20476
16384	128	5.44034
32768	128	6.34628
65536	128	7.69133
131072	128	16.323
262144	128	27.6402
524288	128	49.9309
1048576	128	94.7967
2048	256	4.9421
4096	256	4.99932
8192	256	5.22423
16384	256	5.51996
32768	256	6.43181
65536	256	7.81516
131072	256	16.5906
262144	256	27.9579
524288	256	50.817
1048576	256	96.5964
2048	512	5.00465
4096	512	4.98873
8192	512	5.23711
16384	512	5.6519
32768	512	6.53884
65536	512	7.85668
131072	512	16.6952
262144	512	27.9476
524288	512	50.4236
1048576	512	95.6296
2048	1024	5.21057
4096	1024	5.21389
8192	1024	5.22406
16384	1024	5.75262
32768	1024	6.82903
65536	1024	8.40089
131072	1024	17.5628
262144	1024	29.6852
524288	1024	53.7728
1048576	1024	102.116
