Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.40029
4096	32	2.40703
8192	32	2.57618
16384	32	3.13611
32768	32	4.71641
65536	32	8.17845
131072	32	15.3232
262144	32	29.578
524288	32	58.0956
1048576	32	115.19
2048	64	1.59404
4096	64	1.76521
8192	64	1.81641
16384	64	2.13117
32768	64	2.8991
65536	64	5.01257
131072	64	9.3819
262144	64	17.892
524288	64	35.0285
1048576	64	69.2879
2048	128	1.42073
4096	128	1.4436
8192	128	1.51033
16384	128	1.88287
32768	128	2.2574
65536	128	3.73447
131072	128	6.8762
262144	128	13.082
524288	128	25.5741
1048576	128	50.512
2048	256	2.61383
4096	256	2.30082
8192	256	2.30924
16384	256	2.43311
32768	256	2.92499
65536	256	3.49504
131072	256	6.30572
262144	256	11.9247
524288	256	23.2007
1048576	256	45.7957
2048	512	3.46305
4096	512	2.94748
8192	512	3.77495
16384	512	3.86216
32768	512	4.36011
65536	512	4.33085
131072	512	6.59586
262144	512	12.0109
524288	512	23.2983
1048576	512	46.1727
2048	1024	7.4223
4096	1024	5.36789
8192	1024	6.84447
16384	1024	7.12145
32768	1024	7.59163
65536	1024	6.83925
131072	1024	9.74529
262144	1024	12.5212
524288	1024	23.869
1048576	1024	47.0848
